assays_assay_id,assays_tid,assays_relationship_type,assays_confidence_score,assays_curated_by,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id,assays_variant_id
7547,50597,N,1,Intermediate,1,,CHEMBL620440,,BAO_0000218,,
7548,50597,N,1,Intermediate,1,,CHEMBL620441,,BAO_0000218,,
7549,50597,N,1,Intermediate,1,,CHEMBL620442,,BAO_0000218,,
7550,50597,N,1,Intermediate,1,,CHEMBL620443,,BAO_0000218,,
7551,50597,N,1,Intermediate,1,,CHEMBL620444,,BAO_0000218,,
7552,50597,N,1,Intermediate,1,,CHEMBL620445,,BAO_0000218,,
7553,50597,N,1,Intermediate,1,,CHEMBL620446,,BAO_0000218,,
7554,50597,N,1,Intermediate,1,,CHEMBL620447,,BAO_0000218,1969.0,
7555,50597,N,1,Intermediate,1,,CHEMBL621129,,BAO_0000218,1969.0,
7556,50597,N,1,Intermediate,1,,CHEMBL621130,,BAO_0000218,1969.0,
7557,50597,N,1,Intermediate,1,,CHEMBL873808,,BAO_0000218,,
7558,50597,N,1,Intermediate,1,,CHEMBL876598,,BAO_0000218,,
7559,50597,N,1,Intermediate,1,,CHEMBL621131,,BAO_0000218,,
7560,50597,N,1,Intermediate,1,,CHEMBL621132,,BAO_0000218,,
7561,50597,N,1,Intermediate,1,,CHEMBL621133,,BAO_0000218,,
7562,50597,N,1,Expert,1,,CHEMBL621312,,BAO_0000218,,
7563,50597,N,1,Intermediate,1,,CHEMBL621313,,BAO_0000218,,
7564,50597,N,1,Intermediate,1,,CHEMBL621314,,BAO_0000218,178.0,
7565,50597,N,1,Intermediate,1,,CHEMBL621315,,BAO_0000218,,
7566,50597,N,1,Intermediate,1,,CHEMBL621316,,BAO_0000218,,
7567,50597,N,1,Intermediate,1,,CHEMBL621317,,BAO_0000218,,
7568,50597,N,1,Intermediate,1,,CHEMBL621318,,BAO_0000218,,
7569,50597,N,1,Intermediate,1,,CHEMBL621319,,BAO_0000218,,
7570,50597,N,1,Intermediate,1,,CHEMBL621377,,BAO_0000218,,
7571,50597,N,1,Intermediate,1,,CHEMBL621378,,BAO_0000218,,
7572,50597,N,1,Intermediate,1,,CHEMBL876599,,BAO_0000218,,
7573,50597,N,1,Intermediate,1,,CHEMBL621379,,BAO_0000218,,
7574,50597,N,1,Intermediate,1,,CHEMBL621380,,BAO_0000218,1969.0,
7575,50597,N,1,Intermediate,1,,CHEMBL621381,,BAO_0000218,1969.0,
7576,50597,N,1,Intermediate,1,,CHEMBL618515,,BAO_0000218,,
7577,50597,N,1,Intermediate,1,,CHEMBL618516,,BAO_0000218,,
7578,50597,N,1,Intermediate,1,,CHEMBL618517,,BAO_0000218,,
7579,50597,N,1,Intermediate,1,,CHEMBL618518,,BAO_0000218,,
7580,50597,N,1,Intermediate,1,,CHEMBL618519,,BAO_0000218,,
7581,50597,N,1,Intermediate,1,,CHEMBL618698,,BAO_0000218,,
7582,50597,N,1,Intermediate,1,,CHEMBL618862,,BAO_0000218,,
7583,50597,N,1,Intermediate,1,,CHEMBL618863,,BAO_0000218,,
7584,50597,N,1,Intermediate,1,,CHEMBL618864,,BAO_0000218,,
7585,50597,N,1,Intermediate,1,,CHEMBL618865,,BAO_0000218,,
7586,50597,N,1,Intermediate,1,,CHEMBL618866,,BAO_0000218,,
7587,50597,N,1,Intermediate,1,,CHEMBL618867,,BAO_0000218,,
7588,50597,N,1,Intermediate,1,,CHEMBL875828,,BAO_0000218,,
7589,50597,N,1,Intermediate,1,,CHEMBL618868,,BAO_0000218,,
7590,50597,N,1,Intermediate,1,,CHEMBL618869,,BAO_0000218,,
7591,50597,N,1,Intermediate,1,,CHEMBL618870,,BAO_0000218,,
7592,50597,N,1,Intermediate,1,,CHEMBL618871,,BAO_0000218,1969.0,
7593,50597,N,1,Intermediate,1,,CHEMBL618872,,BAO_0000218,1969.0,
7594,50597,N,1,Intermediate,1,,CHEMBL873816,,BAO_0000218,,
7595,22224,U,0,Autocuration,1,,CHEMBL618873,,BAO_0000218,,
7596,22224,U,0,Autocuration,1,,CHEMBL621602,,BAO_0000019,,
7597,22224,U,0,Autocuration,1,,CHEMBL621603,,BAO_0000218,,
7598,22224,U,0,Autocuration,1,,CHEMBL621604,,BAO_0000218,,
7599,22224,U,0,Autocuration,1,,CHEMBL621605,,BAO_0000218,,
7600,22224,U,0,Autocuration,1,,CHEMBL621606,,BAO_0000218,,
7601,22224,U,0,Autocuration,1,,CHEMBL621607,,BAO_0000218,,
7602,22224,U,0,Autocuration,1,,CHEMBL621608,,BAO_0000218,,
7603,22224,U,0,Autocuration,1,,CHEMBL621609,,BAO_0000019,,
7604,22224,U,0,Autocuration,1,,CHEMBL621610,,BAO_0000218,,
7605,50597,N,1,Intermediate,1,,CHEMBL621611,,BAO_0000218,,
7606,50597,N,1,Intermediate,1,,CHEMBL621612,,BAO_0000218,,
7607,50597,N,1,Intermediate,1,,CHEMBL622308,,BAO_0000218,,
7608,50597,N,1,Intermediate,1,,CHEMBL622309,,BAO_0000218,,
7609,50597,N,1,Intermediate,1,,CHEMBL622310,,BAO_0000218,,
7610,50597,N,1,Intermediate,1,,CHEMBL622311,,BAO_0000218,,
7611,50597,N,1,Intermediate,1,,CHEMBL622312,,BAO_0000218,,
7612,50597,N,1,Intermediate,1,,CHEMBL622931,,BAO_0000218,,
7613,50597,N,1,Intermediate,1,,CHEMBL622932,,BAO_0000218,,
7614,50597,N,1,Intermediate,1,,CHEMBL622736,,BAO_0000218,1969.0,
7615,50597,N,1,Intermediate,1,,CHEMBL622737,,BAO_0000218,1969.0,
7616,50597,N,1,Intermediate,1,,CHEMBL622738,,BAO_0000218,1969.0,
7617,50597,N,1,Intermediate,1,,CHEMBL622739,,BAO_0000218,1969.0,
7618,50597,N,1,Intermediate,1,,CHEMBL622740,,BAO_0000218,1969.0,
7619,50597,N,1,Intermediate,1,,CHEMBL622741,,BAO_0000218,1969.0,
7620,50597,N,1,Intermediate,1,,CHEMBL622742,,BAO_0000218,1969.0,
7621,50597,N,1,Intermediate,1,,CHEMBL622743,,BAO_0000218,1969.0,
7622,50594,N,1,Intermediate,1,,CHEMBL622744,,BAO_0000218,1969.0,
7623,22224,U,0,Autocuration,1,,CHEMBL624134,,BAO_0000019,,
7624,22224,U,0,Autocuration,1,,CHEMBL624135,,BAO_0000019,,
7625,50597,N,1,Intermediate,1,,CHEMBL624136,,BAO_0000218,,
7626,50597,N,1,Intermediate,1,,CHEMBL624137,,BAO_0000218,,
7627,50597,N,1,Intermediate,1,,CHEMBL624320,,BAO_0000218,,
7628,50588,N,1,Intermediate,1,,CHEMBL624321,,BAO_0000218,,
7629,50597,N,1,Intermediate,1,,CHEMBL624322,,BAO_0000218,,
7630,50597,N,1,Intermediate,1,,CHEMBL624323,,BAO_0000218,,
7631,50597,N,1,Intermediate,1,,CHEMBL624324,,BAO_0000218,,
7632,50597,N,1,Intermediate,1,,CHEMBL624325,,BAO_0000218,,
7633,50597,N,1,Intermediate,1,,CHEMBL624326,,BAO_0000218,,
7634,50597,N,1,Intermediate,1,,CHEMBL624327,,BAO_0000218,,
7635,50597,N,1,Intermediate,1,,CHEMBL624328,,BAO_0000218,,
7636,50588,N,1,Intermediate,1,,CHEMBL627848,,BAO_0000218,,
7637,50597,N,1,Intermediate,1,,CHEMBL627849,,BAO_0000218,,
7638,50597,N,1,Intermediate,1,,CHEMBL627850,,BAO_0000218,,
7639,50597,N,1,Intermediate,1,,CHEMBL627851,,BAO_0000218,,
7640,50594,N,1,Intermediate,1,,CHEMBL627852,,BAO_0000218,,
7641,50594,N,1,Intermediate,1,,CHEMBL627853,,BAO_0000218,,
7642,50594,N,1,Intermediate,1,,CHEMBL627854,,BAO_0000218,,
7643,50594,N,1,Intermediate,1,,CHEMBL627855,,BAO_0000218,,
7644,50594,N,1,Intermediate,1,,CHEMBL627856,,BAO_0000218,,
7645,50594,N,1,Intermediate,1,,CHEMBL875339,,BAO_0000218,,
7646,50594,N,1,Intermediate,1,,CHEMBL627857,,BAO_0000218,,
7647,50597,N,1,Intermediate,1,,CHEMBL627858,,BAO_0000218,2106.0,
7648,50597,N,1,Intermediate,1,,CHEMBL627859,,BAO_0000218,178.0,
7649,50597,N,1,Intermediate,1,,CHEMBL627860,,BAO_0000218,955.0,
7650,50597,N,1,Intermediate,1,,CHEMBL627019,,BAO_0000218,948.0,
7651,50597,N,1,Intermediate,1,,CHEMBL627020,,BAO_0000218,2107.0,
7652,50597,N,1,Intermediate,1,,CHEMBL627021,,BAO_0000218,2048.0,
7653,50597,N,1,Intermediate,1,,CHEMBL627022,,BAO_0000218,2385.0,
7654,50597,N,1,Intermediate,1,,CHEMBL627023,,BAO_0000218,,
7655,50597,N,1,Intermediate,1,,CHEMBL627024,,BAO_0000218,2106.0,
7656,50597,N,1,Intermediate,1,,CHEMBL627025,,BAO_0000218,2046.0,
7657,50597,N,1,Intermediate,1,,CHEMBL627026,,BAO_0000218,2113.0,
7658,50597,N,1,Intermediate,1,,CHEMBL627027,,BAO_0000218,178.0,
7659,50597,N,1,Intermediate,1,,CHEMBL627028,,BAO_0000218,955.0,
7660,50597,N,1,Intermediate,1,,CHEMBL627029,,BAO_0000218,948.0,
7661,50597,N,1,Intermediate,1,,CHEMBL627030,,BAO_0000218,2113.0,
7662,50597,N,1,Intermediate,1,,CHEMBL627031,,BAO_0000218,2107.0,
7663,50597,N,1,Intermediate,1,,CHEMBL627032,,BAO_0000218,2048.0,
7664,50597,N,1,Intermediate,1,,CHEMBL627033,,BAO_0000218,2385.0,
7665,50597,N,1,Intermediate,1,,CHEMBL627034,,BAO_0000218,,
7666,50597,N,1,Intermediate,1,,CHEMBL627035,,BAO_0000218,2106.0,
7667,50597,N,1,Intermediate,1,,CHEMBL627036,,BAO_0000218,2046.0,
7668,50597,N,1,Intermediate,1,,CHEMBL875340,,BAO_0000218,178.0,
7669,50597,N,1,Intermediate,1,,CHEMBL627037,,BAO_0000218,948.0,
7670,50597,N,1,Intermediate,1,,CHEMBL627038,,BAO_0000218,2113.0,
7671,50597,N,1,Intermediate,1,,CHEMBL627039,,BAO_0000218,2107.0,
7672,50597,N,1,Intermediate,1,,CHEMBL627040,,BAO_0000218,2385.0,
7673,50597,N,1,Intermediate,1,,CHEMBL624663,,BAO_0000218,2106.0,
7674,50597,N,1,Intermediate,1,,CHEMBL625963,,BAO_0000218,2046.0,
7675,50597,N,1,Intermediate,1,,CHEMBL876799,,BAO_0000218,955.0,
7676,50597,N,1,Intermediate,1,,CHEMBL626133,,BAO_0000218,2048.0,
7677,50597,N,1,Intermediate,1,,CHEMBL626134,,BAO_0000218,,
7678,50597,N,1,Intermediate,1,,CHEMBL626135,,BAO_0000218,,
7679,50597,N,1,Intermediate,1,,CHEMBL626136,,BAO_0000218,,
7680,50597,N,1,Intermediate,1,,CHEMBL626137,,BAO_0000218,,
7681,50597,N,1,Intermediate,1,,CHEMBL626138,,BAO_0000218,,
7682,50597,N,1,Intermediate,1,,CHEMBL626139,,BAO_0000218,,
7683,50597,N,1,Intermediate,1,,CHEMBL626140,,BAO_0000218,,
7684,50597,N,1,Intermediate,1,,CHEMBL626141,,BAO_0000218,,
7685,50597,N,1,Intermediate,1,,CHEMBL626142,,BAO_0000218,,
7686,50597,N,1,Intermediate,1,,CHEMBL627930,,BAO_0000218,2385.0,
7687,50597,N,1,Intermediate,1,,CHEMBL627931,,BAO_0000218,2385.0,
7688,50597,N,1,Intermediate,1,,CHEMBL627932,,BAO_0000218,2385.0,
7689,50597,N,1,Intermediate,1,,CHEMBL627933,,BAO_0000218,2106.0,
7690,50597,N,1,Intermediate,1,,CHEMBL627934,,BAO_0000218,2106.0,
7691,50597,N,1,Intermediate,1,,CHEMBL627935,,BAO_0000218,2106.0,
7692,50597,N,1,Intermediate,1,,CHEMBL627936,,BAO_0000218,178.0,
7693,50597,N,1,Intermediate,1,,CHEMBL627937,,BAO_0000218,178.0,
7694,50597,N,1,Intermediate,1,,CHEMBL627938,,BAO_0000218,178.0,
7695,50597,N,1,Intermediate,1,,CHEMBL627939,,BAO_0000218,178.0,
7696,50597,N,1,Intermediate,1,,CHEMBL627940,,BAO_0000218,178.0,
7697,50597,N,1,Intermediate,1,,CHEMBL627941,,BAO_0000218,178.0,
7698,50597,N,1,Intermediate,1,,CHEMBL876800,,BAO_0000218,178.0,
7699,50597,N,1,Intermediate,1,,CHEMBL627942,,BAO_0000218,178.0,
7700,50597,N,1,Intermediate,1,,CHEMBL627943,,BAO_0000218,178.0,
7701,50597,N,1,Intermediate,1,,CHEMBL627944,,BAO_0000218,178.0,
7702,50597,N,1,Intermediate,1,,CHEMBL627945,,BAO_0000218,178.0,
7703,50597,N,1,Intermediate,1,,CHEMBL628584,,BAO_0000218,178.0,
7704,50597,N,1,Intermediate,1,,CHEMBL628585,,BAO_0000218,178.0,
7705,50597,N,1,Intermediate,1,,CHEMBL628586,,BAO_0000218,178.0,
7706,50597,N,1,Intermediate,1,,CHEMBL628587,,BAO_0000218,178.0,
7707,50597,N,1,Intermediate,1,,CHEMBL628588,,BAO_0000218,178.0,
7708,50597,N,1,Intermediate,1,,CHEMBL628589,,BAO_0000218,178.0,
7709,50597,N,1,Intermediate,1,,CHEMBL625304,,BAO_0000218,178.0,
7710,50597,N,1,Intermediate,1,,CHEMBL625305,,BAO_0000218,178.0,
7711,50597,N,1,Intermediate,1,,CHEMBL625306,,BAO_0000218,178.0,
7712,50597,N,1,Intermediate,1,,CHEMBL625307,,BAO_0000218,178.0,
7713,50597,N,1,Intermediate,1,,CHEMBL625308,,BAO_0000218,178.0,
7714,50597,N,1,Intermediate,1,,CHEMBL627740,,BAO_0000218,178.0,
7715,50597,N,1,Intermediate,1,,CHEMBL627741,,BAO_0000218,178.0,
7716,50597,N,1,Intermediate,1,,CHEMBL627742,,BAO_0000218,178.0,
7717,50597,N,1,Intermediate,1,,CHEMBL627743,,BAO_0000218,178.0,
7718,50597,N,1,Intermediate,1,,CHEMBL627744,,BAO_0000218,178.0,
7719,50597,N,1,Intermediate,1,,CHEMBL627745,,BAO_0000218,10000001.0,
7720,50597,N,1,Intermediate,1,,CHEMBL627746,,BAO_0000218,10000001.0,
7721,50597,N,1,Intermediate,1,,CHEMBL627747,,BAO_0000218,10000001.0,
7722,50597,N,1,Intermediate,1,,CHEMBL876810,,BAO_0000218,10000001.0,
7723,50597,N,1,Intermediate,1,,CHEMBL627748,,BAO_0000218,10000001.0,
7724,50597,N,1,Intermediate,1,,CHEMBL627749,,BAO_0000218,10000001.0,
7725,50597,N,1,Intermediate,1,,CHEMBL627750,,BAO_0000218,10000001.0,
7726,50597,N,1,Intermediate,1,,CHEMBL618728,,BAO_0000218,10000001.0,
7727,50597,N,1,Intermediate,1,,CHEMBL618729,,BAO_0000218,10000001.0,
7728,50597,N,1,Intermediate,1,,CHEMBL618730,,BAO_0000218,10000001.0,
7729,50597,N,1,Intermediate,1,,CHEMBL618731,,BAO_0000218,10000001.0,
7730,50597,N,1,Intermediate,1,,CHEMBL618732,,BAO_0000218,10000001.0,
7731,50597,N,1,Intermediate,1,,CHEMBL618733,,BAO_0000218,10000001.0,
7732,50597,N,1,Intermediate,1,,CHEMBL618734,,BAO_0000218,10000001.0,
7733,50597,N,1,Intermediate,1,,CHEMBL618735,,BAO_0000218,10000001.0,
7734,50597,N,1,Intermediate,1,,CHEMBL876602,,BAO_0000218,10000001.0,
7735,50597,N,1,Intermediate,1,,CHEMBL618736,,BAO_0000218,10000001.0,
7736,50597,N,1,Intermediate,1,,CHEMBL618737,,BAO_0000218,10000001.0,
7737,50597,N,1,Intermediate,1,,CHEMBL618738,,BAO_0000218,10000001.0,
7738,50597,N,1,Intermediate,1,,CHEMBL618739,,BAO_0000218,10000001.0,
7739,50597,N,1,Intermediate,1,,CHEMBL618740,,BAO_0000218,10000001.0,
7740,50597,N,1,Intermediate,1,,CHEMBL618741,,BAO_0000218,10000001.0,
7741,50597,N,1,Intermediate,1,,CHEMBL618742,,BAO_0000218,10000001.0,
7742,50597,N,1,Intermediate,1,,CHEMBL618743,,BAO_0000218,10000001.0,
7743,50597,N,1,Intermediate,1,,CHEMBL618744,,BAO_0000218,1969.0,
7744,50597,N,1,Intermediate,1,,CHEMBL618745,,BAO_0000218,,
7745,50597,N,1,Intermediate,1,,CHEMBL620479,,BAO_0000218,,
7746,50597,N,1,Intermediate,1,,CHEMBL620480,,BAO_0000218,,
7747,50597,N,1,Intermediate,1,,CHEMBL620481,,BAO_0000218,,
7748,50597,N,1,Intermediate,1,,CHEMBL620482,,BAO_0000218,,
7749,50597,N,1,Intermediate,1,,CHEMBL876603,,BAO_0000218,,
7750,50597,N,1,Intermediate,1,,CHEMBL620483,,BAO_0000218,,
7751,50597,N,1,Intermediate,1,,CHEMBL620484,,BAO_0000218,,
7752,50597,N,1,Intermediate,1,,CHEMBL620485,,BAO_0000218,,
7753,50597,N,1,Intermediate,1,,CHEMBL620486,,BAO_0000218,,
7754,50597,N,1,Intermediate,1,,CHEMBL620487,,BAO_0000218,,
7755,50597,N,1,Intermediate,1,,CHEMBL620488,,BAO_0000218,,
7756,50597,N,1,Intermediate,1,,CHEMBL620489,,BAO_0000218,,
7757,50597,N,1,Intermediate,1,,CHEMBL620490,,BAO_0000218,,
7758,50597,N,1,Intermediate,1,,CHEMBL620491,,BAO_0000218,,
7759,50597,N,1,Intermediate,1,,CHEMBL876604,,BAO_0000218,1969.0,
7760,50597,N,1,Intermediate,1,,CHEMBL620492,,BAO_0000218,,
7761,50597,N,1,Intermediate,1,,CHEMBL620493,,BAO_0000218,,
7762,50597,N,1,Intermediate,1,,CHEMBL620494,,BAO_0000218,,
7763,50597,N,1,Intermediate,1,,CHEMBL620495,,BAO_0000218,1969.0,
7764,50597,N,1,Intermediate,1,,CHEMBL620496,,BAO_0000218,1969.0,
7765,50597,N,1,Intermediate,1,,CHEMBL620497,,BAO_0000218,1969.0,
7766,50597,N,1,Intermediate,1,,CHEMBL620498,,BAO_0000218,1969.0,
7767,50597,N,1,Intermediate,1,,CHEMBL620499,,BAO_0000218,1969.0,
7768,50597,N,1,Intermediate,1,,CHEMBL620500,,BAO_0000218,1969.0,
7769,50597,N,1,Intermediate,1,,CHEMBL873809,,BAO_0000218,1969.0,
7770,50597,N,1,Intermediate,1,,CHEMBL620501,,BAO_0000218,,
7771,50597,N,1,Intermediate,1,,CHEMBL620502,,BAO_0000218,,
7772,50597,N,1,Intermediate,1,,CHEMBL620503,,BAO_0000218,,
7773,50597,N,1,Intermediate,1,,CHEMBL620504,,BAO_0000218,,
7774,50597,N,1,Intermediate,1,,CHEMBL876605,,BAO_0000218,,
7775,50597,N,1,Intermediate,1,,CHEMBL620505,,BAO_0000218,,
7776,50597,N,1,Intermediate,1,,CHEMBL873811,,BAO_0000218,1969.0,
7777,50597,N,1,Expert,1,,CHEMBL624016,,BAO_0000218,,
7778,50597,N,1,Intermediate,1,,CHEMBL624017,,BAO_0000218,,
7779,50597,N,1,Intermediate,1,,CHEMBL624018,,BAO_0000218,,
7780,50597,N,1,Intermediate,1,,CHEMBL624019,,BAO_0000218,,
7781,50597,N,1,Intermediate,1,,CHEMBL624020,,BAO_0000218,955.0,
7782,50597,N,1,Intermediate,1,,CHEMBL624201,,BAO_0000218,,
7783,50597,N,1,Intermediate,1,,CHEMBL872528,,BAO_0000218,,
7784,50597,N,1,Intermediate,1,,CHEMBL624202,,BAO_0000218,,
7785,50597,N,1,Intermediate,1,,CHEMBL624203,,BAO_0000218,,
7786,50597,N,1,Intermediate,1,,CHEMBL624350,,BAO_0000218,,
7787,50597,N,1,Intermediate,1,,CHEMBL621320,,BAO_0000218,,
7788,50597,N,1,Intermediate,1,,CHEMBL621321,,BAO_0000218,,
7789,50597,N,1,Intermediate,1,,CHEMBL621322,,BAO_0000218,,
7790,50597,N,1,Intermediate,1,,CHEMBL621323,,BAO_0000218,,
7791,50597,N,1,Intermediate,1,,CHEMBL621324,,BAO_0000218,,
7792,50597,N,1,Intermediate,1,,CHEMBL621325,,BAO_0000218,,
7793,50597,N,1,Intermediate,1,,CHEMBL875837,,BAO_0000218,1969.0,
7794,50597,N,1,Intermediate,1,,CHEMBL621326,,BAO_0000218,1969.0,
7795,50597,N,1,Intermediate,1,,CHEMBL621327,,BAO_0000218,,
7796,50597,N,1,Intermediate,1,,CHEMBL621328,,BAO_0000218,,
7797,50597,N,1,Intermediate,1,,CHEMBL621329,,BAO_0000218,,
7798,50597,N,1,Intermediate,1,,CHEMBL621330,,BAO_0000218,,
7799,50597,N,1,Intermediate,1,,CHEMBL621331,,BAO_0000218,,
7800,50597,N,1,Intermediate,1,,CHEMBL621332,,BAO_0000218,,
7801,50597,N,1,Intermediate,1,,CHEMBL621333,,BAO_0000218,,
7802,50597,N,1,Intermediate,1,,CHEMBL621334,,BAO_0000218,,
7803,50594,N,1,Intermediate,1,,CHEMBL621335,,BAO_0000218,,
7804,50588,N,1,Intermediate,1,,CHEMBL621336,,BAO_0000218,,
7805,50597,N,1,Intermediate,1,,CHEMBL621337,,BAO_0000218,,
7806,50588,N,1,Intermediate,1,,CHEMBL621338,,BAO_0000218,,
7807,50588,N,1,Intermediate,1,,CHEMBL875838,,BAO_0000218,,
7808,50588,N,1,Intermediate,1,,CHEMBL621339,,BAO_0000218,,
7809,50588,N,1,Intermediate,1,,CHEMBL621340,,BAO_0000218,,
7810,22224,U,0,Autocuration,1,,CHEMBL621341,,BAO_0000218,,
7811,22224,U,0,Autocuration,1,,CHEMBL621342,,BAO_0000019,,
7812,22224,U,0,Autocuration,1,,CHEMBL621343,,BAO_0000019,,
7813,50594,N,1,Intermediate,1,,CHEMBL621344,,BAO_0000218,,
7814,50594,N,1,Intermediate,1,,CHEMBL621345,,BAO_0000218,,
7815,22224,U,0,Autocuration,1,,CHEMBL621346,,BAO_0000019,,
7816,22224,U,0,Autocuration,1,,CHEMBL621347,,BAO_0000218,,
7817,50588,N,1,Intermediate,1,,CHEMBL621348,,BAO_0000218,,
7818,22224,U,0,Autocuration,1,,CHEMBL621349,,BAO_0000019,178.0,
7819,22224,U,0,Autocuration,1,,CHEMBL621350,,BAO_0000019,178.0,
7820,22224,U,0,Autocuration,1,,CHEMBL875839,,BAO_0000019,178.0,
7821,22224,U,0,Autocuration,1,,CHEMBL620211,,BAO_0000019,178.0,
7822,22224,U,0,Autocuration,1,,CHEMBL620212,,BAO_0000019,178.0,
7823,22224,U,0,Autocuration,1,,CHEMBL620213,,BAO_0000019,178.0,
7824,50797,N,1,Intermediate,1,,CHEMBL620214,,BAO_0000218,1969.0,
7825,50797,N,1,Intermediate,1,,CHEMBL620215,,BAO_0000218,1969.0,
7826,50797,N,1,Intermediate,1,,CHEMBL620216,,BAO_0000218,1969.0,
7827,50588,N,1,Intermediate,1,,CHEMBL620888,,BAO_0000218,1969.0,
7828,50588,N,1,Intermediate,1,,CHEMBL620889,,BAO_0000218,1969.0,
7829,22224,U,0,Autocuration,1,,CHEMBL620890,,BAO_0000019,1969.0,
7830,50597,N,1,Intermediate,1,,CHEMBL620891,,BAO_0000218,1969.0,
7831,22224,U,0,Autocuration,1,,CHEMBL620892,,BAO_0000019,,
7832,50594,N,1,Intermediate,1,,CHEMBL621079,,BAO_0000218,,
7833,50594,N,1,Intermediate,1,,CHEMBL621080,,BAO_0000218,,
7834,50588,N,1,Intermediate,1,,CHEMBL621081,,BAO_0000218,,
7835,100712,N,1,Intermediate,1,,CHEMBL621082,,BAO_0000218,,
7836,50597,N,1,Intermediate,1,,CHEMBL621083,,BAO_0000218,,
7837,50588,N,1,Intermediate,1,,CHEMBL621084,,BAO_0000218,,
7838,50588,N,1,Intermediate,1,,CHEMBL621085,,BAO_0000218,,
7839,50588,N,1,Intermediate,1,,CHEMBL621086,,BAO_0000218,,
7840,50588,N,1,Intermediate,1,,CHEMBL621087,,BAO_0000218,,
7841,50588,N,1,Intermediate,1,,CHEMBL622607,,BAO_0000218,,
7842,50588,N,1,Intermediate,1,,CHEMBL622608,,BAO_0000218,,
7843,22224,U,0,Autocuration,1,,CHEMBL624481,,BAO_0000019,,
7844,22224,U,0,Autocuration,1,,CHEMBL624482,,BAO_0000019,,
7845,22224,U,0,Autocuration,1,,CHEMBL624483,,BAO_0000019,,
7846,22224,U,0,Autocuration,1,,CHEMBL624484,,BAO_0000019,,
7847,22224,U,0,Autocuration,1,,CHEMBL624485,,BAO_0000019,,
7848,50597,N,1,Intermediate,1,,CHEMBL624486,,BAO_0000218,,
7849,22224,U,0,Autocuration,1,,CHEMBL624487,,BAO_0000019,,
7850,22224,U,0,Autocuration,1,,CHEMBL624488,,BAO_0000019,,
7851,50597,N,1,Intermediate,1,,CHEMBL624489,,BAO_0000218,,
7852,50597,N,1,Intermediate,1,,CHEMBL625184,,BAO_0000218,,
7853,22224,U,0,Autocuration,1,,CHEMBL625185,,BAO_0000019,,
7854,22224,U,0,Autocuration,1,,CHEMBL875954,,BAO_0000019,,
7855,22224,U,0,Autocuration,1,,CHEMBL625186,,BAO_0000019,,
7856,22224,U,0,Autocuration,1,,CHEMBL625187,,BAO_0000019,,
7857,22224,U,0,Autocuration,1,,CHEMBL625188,,BAO_0000019,,
7858,50588,N,1,Intermediate,1,,CHEMBL625189,,BAO_0000218,,
7859,50588,N,1,Intermediate,1,,CHEMBL625190,,BAO_0000218,,
7860,50597,N,1,Intermediate,1,,CHEMBL621733,,BAO_0000218,,
7861,50597,N,1,Intermediate,1,,CHEMBL621734,,BAO_0000218,,
7862,50597,N,1,Intermediate,1,,CHEMBL621735,,BAO_0000218,,
7863,50597,N,1,Intermediate,1,,CHEMBL621736,,BAO_0000218,1969.0,
